Source.Name;Marca temporal;Nombre del Encuestador SE1;Nombre de la empresa;1. Tamaño de la empresa:;2. Sector o industria principal de la empresa (seleccione una opción):  ;* Especificar otra industria o sector;3. ¿Qué tipo de perfiles profesionales son los más demandados por su empresa actualmente?  ;* Especificar otro perfil;4. ¿Cuántos puestos de trabajo necesitan cubrir en los próximos 12 meses?   ;5. ¿Cuáles son las principales dificultades que enfrenta para cubrir las vacantes en su empresa?  ;* Especificar otras dificultades;6. ¿Qué proporción de sus trabajadores considera que tiene suficiente formación?;7. ¿En qué medida la falta de personal cualificado cree que afecta al crecimiento de su empresa?  ;8. ¿A su empresa le interesaría realizar programas de formación o programas de inserción laboral?  
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:02;;Reymad S.L;Mediana;Otros *;Juridicos;Otro *;Abogados;Ninguno;Falta de experiencia;;Casi todos;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:06;;Ecoterrae S.L;Pequeña;Servicios;;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;En cierta medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:09;;Hombre de Piedra Arquitecto S.L;Pequeña;Otros *;Construcción ;Técnicos;;Ninguno;Otras *;No tiene;Casi todos;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:16;;Coface ;Grande;Servicios;Servicios Financieros a empresas;Otro *;En función del departamento ;Ninguno;Otras *;Ninguna ;;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:18;;Green Light Trading S.L;Pequeña;Comercio;;Comerciales;;1-5;Falta de experiencia;;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:22;;Fidelis Auditores S.L.P.;Micro;Servicios;;Técnicos;;1-5;Falta de candidatos cualificados;;Casi todos;En cierta medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:30;;Gestiones Arbago S.L.;Micro;Servicios;;Técnicos;;Ninguno;Falta de experiencia;;La mayoría;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:45;;Asesores Caramelos Hidalgo S.L.P.;Pequeña;Otros *;Asesoría Laboral ;Otro *;Farmacia;Ninguno;Otras *;No hace falta más personal ;La mayoría;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:53;;Hidalgo Parejo Asesores Sl;Pequeña;Servicios;;Otro *;Contables, administrativos ;Ninguno;Otras *;No encontramos a las personas con los requisitos requeridos;La mayoría;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 11:59;;Meditraf SL;Pequeña;Salud;;Comerciales;;Ninguno;Falta de candidatos cualificados;;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 12:06;;Asociación Provincial De Estanqueros De Sevilla;Pequeña;Servicios;;Otro *;No demandan ninguno ;Ninguno;Falta de candidatos cualificados;;Casi todos;Nada;
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 12:12;;SPM Construcción ;Pequeña;Otros *;Construcción ;Técnicos;;Ninguno;Falta de experiencia;;Casi todos;Nada;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 12:16;;Grupo Gea RGS SL;Mediana;Otros *;Inmobiliaria ;Administrativos;;Ninguno;Otras *;Ampliación de negocios;La mayoría;En cierta medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 12:25;;Business Strengths Engineering S.L.;Pequeña;Servicios;;Técnicos;;1-5;Falta de experiencia;;Casi todos;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 12:32;;mindpsicologos ;Mediana;Salud;;Otro *;Psicologos;Ninguno;Otras *;Ninguna;La mayoría;Poco;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 12:37;;Freyssinet SA;Grande;Otros *;Construcción ;Técnicos;;Ninguno;Otras *;Nada;La mayoría;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 13:08;;Agrocontrol Ibérica S.L.U.;Micro;Servicios;;Técnicos;;1-5;Competencia salarial;;Casi todos;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 13:12;;Woodfield SL;Pequeña;Tecnología;;Administrativos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 13:16;;Siete Editores SL;Mediana;Servicios;;Otro *;De todos;Ninguno;Otras *;No hay dificultades ;Casi todos;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 13:19;;Eleven Asesoramiento Tributario ;Pequeña;Servicios;;Otro *;Empresas;Ninguno;Otras *;Ninguno;La mayoría;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 13:24;;Colegio Oficial de Opticos- Optometristas de Andalucía ;Micro;Salud;;Técnicos;;Ninguno;Otras *;Falta de necesidades de contratación ;Casi todos;En gran medida;Sí
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 13:34;;Enrique García Ballesteros Fisioterapia ;Micro;Salud;;Técnicos;;Ninguno;Otras *;No tiene vacantes;Casi todos;Nada;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 13:36;;Joaquín Cuevas autónomo ;Micro;Servicios;;Técnicos;;Ninguno;Competencia salarial;;Casi todos;En gran medida;No
SE10- ANA MARÍA MÁQUEZ SALMERÓN (respuestas).xlsx;20/02/2025 13:46;;P.alH// TH.Kohl;Micro;Servicios;;Administrativos;;Ninguno;Otras *;No tiene vacantes ;Casi todos;Nada;
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 10:50;;Impresiona;Micro;Comercio;Papeleria;Comerciales;;Ninguno;Otras *;;La mayoría;En gran medida;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 10:54;;Tecnocasa;Grande;Servicios;Venta de casa;Comerciales;;1-5;Falta de candidatos cualificados;;La mayoría;Poco;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 11:01;;Ferretería juncal;Micro;Comercio;;Otro *;Marketing ;Ninguno;Falta de experiencia;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 11:10;;Herboristeria la tuya;Micro;Comercio;Herbolario;Otro *;Sanitario;Ninguno;Otras *;Incertidumbre;La mayoría;Poco;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 11:17;;Viajes fuentes;Pequeña;Servicios;Turismo;Comerciales;;1-5;Falta de experiencia;;La mayoría;En gran medida;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 11:37;;Pescadería José Angel ;Micro;Comercio;Pescadería ;Comerciales;;Ninguno;Otras *;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 11:47;;To bueno;Pequeña;Comercio;Alimentación ;Otro *;Marketing ;Ninguno;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 11:51;;Frutería Urbión ;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 12:10;;Macelesa servicios profesionales;Pequeña;Servicios;;Técnicos;;1-5;Falta de candidatos cualificados;;Una minoría;En gran medida;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 13:34;;Vape meter;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 13:58;;L. San sushi;Mediana;Comercio;Restauración;Otro *;Cocinero;Ninguno;Falta de experiencia, Otras *;;La mayoría;En cierta medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 14:13;;Espendeduria 142;Micro;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;Poco;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;18/02/2025 14:29;;Celf Sevilla ;Mediana;Servicios;Educacion;Técnicos;;1-5;Falta de candidatos cualificados, Competencia salarial;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 11:28;;Barberia Qd;Micro;Servicios;;Técnicos;;Ninguno;Competencia salarial;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 11:48;;Barberia Iván sanchez;Micro;Servicios;;Otro *;Peluquero;Ninguno;Competencia salarial;;La mayoría;En cierta medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 11:52;;Serranía de cadiz meson;Pequeña;Servicios;Restauracion;Otro *;Camarero;Ninguno;Competencia salarial, Otras *;Costo;La mayoría;En cierta medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 11:56;;Cervecería el timbre;Micro;Servicios;;Otro *;Camarero;Ninguno;Falta de candidatos cualificados;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 12:00;;Ba nueva ronda;Micro;Servicios;Restauración ;Comerciales;;Ninguno;;Costos impuestos;La mayoría;Nada;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 12:09;;Nexo training centrer;Pequeña;Servicios;Gimnasio ;Técnicos;;1-5;Competencia salarial;;La mayoría;Nada;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 12:24;;Barberia picon;Micro;Servicios;;Técnicos;;Ninguno;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 12:31;;Clínica veterinaria juncal;Pequeña;Servicios;Veterinaria ;Técnicos;;Ninguno;Competencia salarial;;La mayoría;En cierta medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 13:37;;Agencia viajes calabria;Pequeña;Servicios;Viajes;Técnicos;;Ninguno;Falta de candidatos cualificados;;La mayoría;En cierta medida;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 13:45;;Mi movil5G;Pequeña;Servicios;;Comerciales;;Ninguno;Falta de candidatos cualificados, Competencia salarial, Falta de experiencia;;La mayoría;En gran medida;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 13:50;;Gestiones prada;Pequeña;Servicios;Gestoria;Administrativos;;1-5;Falta de candidatos cualificados, Competencia salarial;;La mayoría;En cierta medida;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 13:54;;Distaldent;Micro;Servicios;Laboratorio de prótesis dental;Técnicos;;Ninguno;Competencia salarial;;La mayoría;Poco;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 13:59;;Frutería hermanos gandullo;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 14:04;;Frutería José Antonio ;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En cierta medida;Sí
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;19/02/2025 14:25;;Droguería Juan;Pequeña;Comercio;;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En gran medida;No
SE11 - DAYANNA LEE CARBONEL ARANA (respuestas).xlsx;20/02/2025 9:35;;Frutería Macarena;Micro;Comercio;Fruteria;Comerciales;;Ninguno;Competencia salarial;;La mayoría;En cierta medida;No
